dt,Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Solar Azimuth Angle,Panel Tilt,Panel Azimuth Angle
2020-01-01 14:00:00,2020,1,1,14,0,5.4,31.0,334.0,60.0,7.0,-0.9,21.0,0.0,100.0,21.0,63.74,85.1,0.12,996.0,1.5,191.0,3.3,121.348400348315,20.0,180.0
2020-01-01 15:00:00,2020,1,1,15,0,6.7,61.0,640.0,227.0,7.0,-0.7,24.0,0.0,43.0,24.0,59.38,75.01,0.12,996.0,1.6,184.0,3.8,130.79533586624882,20.0,180.0
2020-01-01 16:00:00,2020,1,1,16,0,8.3,81.0,754.0,384.0,6.0,-0.3,32.0,0.0,0.0,32.0,54.73,66.34,0.12,996.0,1.8,181.0,4.0,142.15968546903505,20.0,180.0
2020-01-01 17:00:00,2020,1,1,17,0,10.1,96.0,806.0,501.0,6.0,-0.3,73.0,0.0,0.0,73.0,48.48,59.83,0.12,995.0,1.9,183.0,4.3,155.81396457457345,20.0,180.0
2020-01-01 18:00:00,2020,1,1,18,0,11.2,96.0,842.0,564.0,6.0,-0.6,81.0,0.0,0.0,81.0,44.08,56.27,0.12,993.0,2.0,186.0,4.6,171.53915317099734,20.0,180.0
2020-01-01 19:00:00,2020,1,1,19,0,11.6,95.0,846.0,565.0,6.0,-0.7,72.0,0.0,0.0,72.0,42.72,56.23,0.12,991.0,2.0,190.0,4.6,188.1481079808919,20.0,180.0
2020-01-01 20:00:00,2020,1,1,20,0,12.0,88.0,826.0,504.0,6.0,-0.2,129.0,1.0,0.0,130.0,42.89,59.72,0.12,990.0,2.0,192.0,4.6,203.90819130673128,20.0,180.0
2020-01-01 21:00:00,2020,1,1,21,0,11.9,75.0,777.0,389.0,7.0,0.6,111.0,3.0,0.0,112.0,45.99,66.17,0.12,989.0,2.0,190.0,4.6,217.6127237323564,20.0,180.0
2020-01-01 22:00:00,2020,1,1,22,0,11.4,59.0,655.0,231.0,7.0,1.9,70.0,2.0,57.0,71.0,52.11,74.81,0.12,989.0,1.9,187.0,4.6,229.0249696154768,20.0,180.0
2020-01-01 23:00:00,2020,1,1,23,0,10.7,31.0,345.0,62.0,7.0,3.1,23.0,0.0,100.0,23.0,59.32,84.87,0.12,988.0,1.8,186.0,4.6,238.5104782460889,20.0,180.0
2020-01-02 14:00:00,2020,1,2,14,0,10.5,28.0,356.0,58.0,6.0,9.8,8.0,0.0,100.0,8.0,95.72,85.14,0.12,983.0,2.7,176.0,3.8,121.21392425301389,20.0,180.0
2020-01-02 15:00:00,2020,1,2,15,0,12.0,51.0,673.0,225.0,6.0,10.5,37.0,0.0,43.0,37.0,90.25,75.03,0.12,984.0,2.6,183.0,4.4,130.65338064836374,20.0,180.0
2020-01-02 16:00:00,2020,1,2,16,0,13.7,63.0,802.0,385.0,7.0,10.9,33.0,0.0,0.0,33.0,83.21,66.33,0.12,984.0,2.6,193.0,5.0,142.00947394818144,20.0,180.0
2020-01-02 17:00:00,2020,1,2,17,0,15.0,69.0,864.0,504.0,6.0,11.1,70.0,0.0,0.0,70.0,77.49,59.8,0.12,983.0,2.6,193.0,4.9,155.66067852162325,20.0,180.0
2020-01-02 18:00:00,2020,1,2,18,0,16.4,72.0,889.0,567.0,6.0,11.2,96.0,0.0,0.0,96.0,71.16,56.2,0.12,982.0,2.6,198.0,5.1,171.39621774097054,20.0,180.0
2020-01-02 19:00:00,2020,1,2,19,0,17.3,73.0,892.0,570.0,7.0,11.2,61.0,0.0,14.0,61.0,67.23,56.13,0.12,981.0,2.5,200.0,4.8,188.0324334637399,20.0,180.0
