Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1223393,-,-,-,40.33,-74.66,0,32,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2013,1,1,0,30,0.8,1.1,0.065,0.61,0,0,0,0,6,-0.9,0,0,0,0,0.31,88.47,121.03,0.9400000000000001,0.12,1011,1.3,246,1.9000000000000001
2013,1,1,1,30,1.1,1.12,0.067,0.61,0,0,0,0,6,-0.8,0,0,0,0,0.308,87.21000000000001,132.45,0.9400000000000001,0.12,1010,1.5,250,2.1
2013,1,1,2,30,1.3,1.1500000000000001,0.066,0.61,0,0,0,0,6,-0.6000000000000001,0,0,0,0,0.309,87.19,143.67000000000002,0.9400000000000001,0.12,1010,1.5,251,2.1
2013,1,1,3,30,1,1.2,0.063,0.61,0,0,0,0,6,-0.4,0,0,0,0,0.308,90.47,153.98,0.9400000000000001,0.12,1009,1.4000000000000001,249,1.8
2013,1,1,4,30,0.6000000000000001,1.25,0.063,0.61,0,0,0,0,6,-0.4,0,0,0,0,0.307,93.03,161.38,0.9400000000000001,0.12,1009,1.3,251,1.8
2013,1,1,5,30,0.4,1.29,0.063,0.61,0,0,0,0,6,-0.5,0,0,0,0,0.307,93.96000000000001,161.69,0.9400000000000001,0.12,1008,1.2000000000000002,256,1.7000000000000002
2013,1,1,6,30,0.30000000000000004,1.32,0.06,0.61,0,0,0,0,6,-0.5,0,0,0,0,0.307,94.05,154.64000000000001,0.9400000000000001,0.12,1009,1.2000000000000002,262,1.6
2013,1,1,7,30,0.1,1.35,0.059000000000000004,0.61,0,0,0,0,6,-0.7000000000000001,0,0,0,0,0.306,94.34,144.45000000000002,0.9400000000000001,0.12,1009,1.2000000000000002,265,1.5
2013,1,1,8,30,-0.2,1.3800000000000001,0.06,0.61,0,0,0,0,7,-0.9,0,0,0,0,0.307,95.2,133.26,0.9400000000000001,0.12,1008,1.1,265,1.5
2013,1,1,9,30,-0.30000000000000004,1.3900000000000001,0.06,0.61,0,0,0,0,7,-1,0,0,0,0,0.307,94.97,121.84,0.9400000000000001,0.12,1008,1.2000000000000002,265,1.5
2013,1,1,10,30,-0.30000000000000004,1.4000000000000001,0.059000000000000004,0.61,0,0,0,0,7,-1.1,0,0,0,0,0.306,94.32000000000001,110.55,0.93,0.12,1008,1.2000000000000002,264,1.4000000000000001
2013,1,1,11,30,-0.2,1.41,0.059000000000000004,0.61,0,0,0,0,7,-1.2000000000000002,0,0,0,0,0.305,92.75,99.67,0.93,0.12,1009,1.2000000000000002,264,1.5
2013,1,1,12,30,0.4,1.41,0.063,0.61,0,0,0,7,7,-1.2000000000000002,0,0,7,0,0.303,88.76,89.03,0.93,0.12,1009,1.2000000000000002,265,1.5
2013,1,1,13,30,1.4000000000000001,1.3900000000000001,0.069,0.61,47,537,138,7,6,-0.8,33,0,7,33,0.301,85.3,80.17,0.9400000000000001,0.12,1009,1.2000000000000002,266,1.6
2013,1,1,14,30,2.2,1.3800000000000001,0.075,0.61,67,704,279,0,6,-0.2,100,8,0,102,0.299,84.02,72.48,0.9400000000000001,0.12,1009,1.2000000000000002,271,1.5
2013,1,1,15,30,2.7,1.37,0.076,0.61,77,786,386,0,6,0.30000000000000004,51,0,0,51,0.298,83.96000000000001,66.8,0.93,0.12,1008,1.2000000000000002,280,1.5
2013,1,1,16,30,2.9000000000000004,1.37,0.076,0.61,81,825,447,0,6,0.6000000000000001,142,7,0,145,0.296,84.77,63.690000000000005,0.93,0.12,1008,1.1,291,1.5
2013,1,1,17,30,2.9000000000000004,1.36,0.076,0.61,82,826,449,0,6,0.6000000000000001,115,3,0,116,0.295,85.13,63.56,0.93,0.12,1008,1.1,299,1.5
2013,1,1,18,30,2.6,1.33,0.074,0.61,77,793,394,0,6,0.6000000000000001,87,2,0,88,0.294,86.46000000000001,66.43,0.93,0.12,1008,1.2000000000000002,307,1.4000000000000001
2013,1,1,19,30,1.9000000000000001,1.32,0.067,0.61,65,729,291,0,6,0.30000000000000004,91,5,0,93,0.292,88.82000000000001,71.93,0.92,0.12,1008,1.1,316,1.4000000000000001
2013,1,1,20,30,1,1.29,0.06,0.61,47,576,152,0,7,-0.4,41,1,0,41,0.292,90.68,79.47,0.93,0.12,1008,1.1,324,1.4000000000000001
2013,1,1,21,30,0.1,1.27,0.053,0.61,14,185,20,7,7,-1.4000000000000001,5,0,7,5,0.293,89.73,88.31,0.93,0.12,1009,1,330,1.4000000000000001
2013,1,1,22,30,-0.5,1.26,0.049,0.61,0,0,0,0,6,-2.2,0,0,0,0,0.293,87.99,98.79,0.93,0.12,1009,0.9,333,1.4000000000000001
2013,1,1,23,30,-1,1.27,0.047,0.61,0,0,0,0,7,-3,0,0,0,0,0.293,86.55,109.63,0.93,0.12,1010,0.8,332,1.4000000000000001
2013,1,2,0,30,-1.4000000000000001,1.28,0.045,0.61,0,0,0,0,7,-3.7,0,0,0,0,0.293,84.5,120.9,0.93,0.12,1011,0.7000000000000001,331,1.4000000000000001
2013,1,2,1,30,-1.9000000000000001,1.29,0.042,0.61,0,0,0,0,6,-4.4,0,0,0,0,0.294,83.10000000000001,132.31,0.93,0.12,1011,0.6000000000000001,331,1.5
2013,1,2,2,30,-2.4000000000000004,1.29,0.039,0.61,0,0,0,0,7,-5.1000000000000005,0,0,0,0,0.294,81.56,143.53,0.92,0.12,1012,0.5,330,1.5
2013,1,2,3,30,-3.1,1.3,0.036000000000000004,0.61,0,0,0,0,6,-5.9,0,0,0,0,0.295,80.86,153.84,0.92,0.12,1012,0.5,330,1.6
2013,1,2,4,30,-3.8000000000000003,1.3,0.033,0.61,0,0,0,0,7,-7,0,0,0,0,0.296,78.67,161.26,0.91,0.12,1012,0.4,333,1.7000000000000002
2013,1,2,5,30,-4.4,1.31,0.032,0.61,0,0,0,0,7,-7.7,0,0,0,0,0.297,77.49,161.64000000000001,0.91,0.12,1012,0.4,338,1.7000000000000002
2013,1,2,6,30,-4.7,1.3,0.031,0.61,0,0,0,0,6,-8.200000000000001,0,0,0,0,0.297,76.51,154.65,0.91,0.12,1012,0.4,341,1.6
